Municipio,Total,Cafe,Cana,Milho,Soja,Soja_norm,Milho_norm,Cana_norm,Cafe_norm,DPF,Classificacao
Tangará da Serra (MT),201529,80.0,331.0,47409.0,129095.0,0.21515833333333334,0.094818,0.002758333333333333,0.0018678496381041327,0.1212642016304771,D - Baixo
João Pinheiro (MG),80045,3000.0,64200.0,4500.0,6000.0,0.01,0.009,0.535,0.07004436142890497,0.12075443614289051,D - Baixo
Campo Grande (MS),171959,0.0,1753.0,39539.0,127634.0,0.21272333333333332,0.079078,0.014608333333333333,0.0,0.11841666666666666,D - Baixo
Juara (MT),185435,100.0,5.0,55000.0,120000.0,0.2,0.11,4.1666666666666665e-05,0.0023348120476301658,0.11774181453809636,D - Baixo
Bom Jesus de Goiás (GO),129925,0.0,30300.0,31400.0,64000.0,0.10666666666666667,0.0628,0.2525,0.0,0.11420000000000001,D - Baixo
Conceição das Alagoas (MG),111978,12.0,45500.0,19500.0,37000.0,0.06166666666666667,0.039,0.37916666666666665,0.0002801774457156199,0.1133613510779049,D - Baixo
Tupanciretã (RS),174978,0.0,10.0,4800.0,147919.0,0.24653166666666668,0.0096,8.333333333333333e-05,0.0,0.11335591666666667,D - Baixo
Itaporã (MS),179404,0.0,329.0,86100.0,91560.0,0.1526,0.1722,0.0027416666666666666,0.0,0.11226833333333334,D - Baixo
Riachão das Neves (BA),196617,0.0,90.0,10064.0,141741.0,0.236235,0.020128,0.00075,0.0,0.11148775,D - Baixo
Paraíso das Águas (MS),128091,0.0,18016.0,2450.0,106000.0,0.17666666666666667,0.0049,0.15013333333333334,0.0,0.11075166666666668,D - Baixo
Acreúna (GO),132563,0.0,33000.0,30280.0,53500.0,0.08916666666666667,0.06056,0.275,0.0,0.110265,D - Baixo
Santa Helena de Goiás (GO),145917,0.0,24000.0,46200.0,62000.0,0.10333333333333333,0.0924,0.2,0.0,0.1096,D - Baixo
Ipameri (GO),167547,509.0,10800.0,24000.0,104000.0,0.17333333333333334,0.048,0.09,0.011884193322437543,0.10918841933224376,D - Baixo
São Gabriel (RS),176420,0.0,0.0,4000.0,137000.0,0.22833333333333333,0.008,0.0,0.0,0.10475000000000001,D - Baixo
Rondonópolis (MT),159181,0.0,80.0,56000.0,97755.0,0.162925,0.112,0.0006666666666666666,0.0,0.10144958333333333,D - Baixo
Ribeirão Cascalheira (MT),149270,0.0,0.0,40000.0,107000.0,0.17833333333333334,0.08,0.0,0.0,0.10025,D - Baixo
Ivinhema (MS),90985,145.0,42559.0,14000.0,28000.0,0.04666666666666667,0.028,0.35465833333333335,0.0033854774690637406,0.09927021441357305,D - Baixo
Santa Maria das Barreiras (PA),178500,0.0,15.0,30000.0,112000.0,0.18666666666666668,0.06,0.000125,0.0,0.099025,D - Baixo
Jaboticabal (SP),66138,0.0,57550.0,300.0,3500.0,0.005833333333333334,0.0006,0.4795833333333333,0.0,0.09869166666666666,D - Baixo
Cascavel (PR),180405,0.0,45.0,62200.0,86600.0,0.14433333333333334,0.1244,0.000375,0.0,0.09612500000000002,D - Baixo
Sonora (MS),108781,0.0,20498.0,20751.0,66000.0,0.11,0.041502,0.17081666666666667,0.0,0.09403883333333334,D - Baixo
Novo Mundo (MT),143966,10.0,0.0,50000.0,90000.0,0.15,0.1,0.0,0.00023348120476301658,0.0925233481204763,D - Baixo
Jaborandi (BA),156899,0.0,65.0,22100.0,107900.0,0.17983333333333335,0.0442,0.0005416666666666666,0.0,0.09208333333333335,D - Baixo
Alegrete (RS),199697,0.0,0.0,4000.0,120000.0,0.2,0.008,0.0,0.0,0.09200000000000001,D - Baixo
Goianésia (GO),58965,0.0,53000.0,1900.0,3200.0,0.005333333333333333,0.0038,0.44166666666666665,0.0,0.09168333333333334,D - Baixo
Brasília (DF),189732,417.0,205.0,53000.0,85000.0,0.14166666666666666,0.106,0.0017083333333333334,0.009736166238617791,0.09156528329052845,D - Baixo
Barra do Bugres (MT),58675,2.0,53700.0,1600.0,1403.0,0.0023383333333333333,0.0032,0.4475,4.669624095260332e-05,0.09135691962409527,D - Baixo
Dom Pedrito (RS),159063,0.0,0.0,2450.0,120000.0,0.2,0.0049,0.0,0.0,0.09122500000000001,D - Baixo
Peixoto de Azevedo (MT),145263,14.0,20.0,50000.0,88000.0,0.14666666666666667,0.1,0.00016666666666666666,0.0003268736866682232,0.09106602070200015,D - Baixo
Bandeirantes (MS),144865,0.0,0.0,19635.0,107804.0,0.17967333333333332,0.03927,0.0,0.0,0.09067049999999999,D - Baixo
Silvânia (GO),154370,53.0,95.0,30500.0,100000.0,0.16666666666666666,0.061,0.0007916666666666666,0.001237450385243988,0.09053207837185773,D - Baixo
Ulianópolis (PA),109378,0.0,17000.0,10700.0,75500.0,0.12583333333333332,0.0214,0.14166666666666666,0.0,0.09030833333333332,D - Baixo
Campo Florido (MG),82327,0.0,40000.0,6650.0,27000.0,0.045,0.0133,0.3333333333333333,0.0,0.09024166666666666,D - Baixo
Palmeira das Missões (RS),181434,0.0,142.0,14500.0,110000.0,0.18333333333333332,0.029,0.0011833333333333333,0.0,0.08998666666666666,D - Baixo
Ituiutaba (MG),88378,4.0,38000.0,4461.0,32261.0,0.053768333333333335,0.008922,0.31666666666666665,9.339248190520663e-05,0.08976892258152386,D - Baixo
Assis Chateaubriand (PR),143472,10.0,50.0,70550.0,71820.0,0.1197,0.1411,0.0004166666666666667,0.00023348120476301658,0.08924668145380964,D - Baixo
Valparaíso (SP),54453,0.0,53040.0,400.0,400.0,0.0006666666666666666,0.0008,0.442,0.0,0.0889,D - Baixo
Perolândia (GO),118800,0.0,13000.0,38500.0,62000.0,0.10333333333333333,0.077,0.10833333333333334,0.0,0.08741666666666667,D - Baixo
Itápolis (SP),69781,10.0,49200.0,2500.0,5000.0,0.008333333333333333,0.005,0.41,0.00023348120476301658,0.08702334812047631,D - Baixo
Toledo (PR),138679,0.0,50.0,66500.0,70700.0,0.11783333333333333,0.133,0.0004166666666666667,0.0,0.08635833333333334,D - Baixo
São Borja (RS),182005,0.0,0.0,15000.0,105000.0,0.175,0.03,0.0,0.0,0.08625,D - Baixo
Batatais (SP),54105,3000.0,45200.0,2000.0,3800.0,0.006333333333333333,0.004,0.37666666666666665,0.07004436142890497,0.08618776947622384,D - Baixo
Uberlândia (MG),121608,460.0,16100.0,25000.0,61000.0,0.10166666666666667,0.05,0.13416666666666666,0.010740135419098762,0.08615734687524321,D - Baixo
Aporé (GO),76413,0.0,35000.0,3000.0,35000.0,0.058333333333333334,0.006,0.2916666666666667,0.0,0.08608333333333335,D - Baixo
União do Sul (MT),144647,0.0,0.0,52000.0,80000.0,0.13333333333333333,0.104,0.0,0.0,0.086,D - Baixo
Catalão (GO),145410,0.0,20.0,14000.0,105000.0,0.175,0.028,0.00016666666666666666,0.0,0.08578333333333334,D - Baixo
Ribeiro Gonçalves (PI),131174,0.0,6.0,31312.0,93266.0,0.15544333333333332,0.062624,5e-05,0.0,0.0856155,D - Baixo
Santa Cruz do Xingu (MT),126150,0.0,0.0,36000.0,90000.0,0.15,0.072,0.0,0.0,0.0855,D - Baixo
Santa Cruz do Rio Pardo (SP),104834,200.0,25050.0,26500.0,40000.0,0.06666666666666667,0.053,0.20875,0.0046696240952603316,0.08546696240952603,D - Baixo
Campos Lindos (TO),138460,0.0,10.0,53620.0,77600.0,0.12933333333333333,0.10724,8.333333333333333e-05,0.0,0.08502666666666667,D - Baixo
Denise (MT),55599,0.0,47650.0,1527.0,5990.0,0.009983333333333334,0.003054,0.39708333333333334,0.0,0.08467266666666667,D - Baixo
Coruripe (AL),55823,0.0,50677.0,120.0,0.0,0.0,0.00024,0.42230833333333334,0.0,0.08452166666666668,D - Baixo
Tibagi (PR),169155,0.0,0.0,18700.0,99900.0,0.1665,0.0374,0.0,0.0,0.084275,D - Baixo
Buritis (MG),131769,929.0,100.0,16500.0,97500.0,0.1625,0.033,0.0008333333333333334,0.02169040392248424,0.08371070705891509,D - Baixo
Coromandel (MG),126903,7810.0,11.0,25000.0,70000.0,0.11666666666666667,0.05,9.166666666666667e-05,0.18234882091991594,0.08325321542532493,D - Baixo
Serranópolis (GO),103541,0.0,14000.0,26000.0,62000.0,0.10333333333333333,0.052,0.11666666666666667,0.0,0.08283333333333333,D - Baixo
Itaúba (MT),132583,5.0,15.0,43000.0,81290.0,0.13548333333333334,0.086,0.000125,0.00011674060238150829,0.08250417406023815,D - Baixo
Alta Floresta (MT),128339,200.0,0.0,46489.0,77483.0,0.12913833333333333,0.092978,0.0,0.0046696240952603316,0.08182371240952604,D - Baixo
Cachoeira do Sul (RS),152218,0.0,60.0,5400.0,104822.0,0.17470333333333332,0.0108,0.0005,0.0,0.08141649999999999,D - Baixo
Confresa (MT),124407,0.0,0.0,48000.0,76227.0,0.127045,0.096,0.0,0.0,0.08117025,D - Baixo
Angélica (MS),69238,0.0,37117.0,11000.0,18080.0,0.030133333333333335,0.022,0.30930833333333335,0.0,0.08092166666666667,D - Baixo
Itapeva (SP),164177,0.0,2500.0,29500.0,82000.0,0.13666666666666666,0.059,0.020833333333333332,0.0,0.08041666666666666,D - Baixo
Miguelópolis (SP),67831,0.0,39173.0,5080.0,16694.0,0.027823333333333332,0.01016,0.3264416666666667,0.0,0.08034883333333334,D - Baixo
Pedro Afonso (TO),69260,0.0,35000.0,11000.0,22000.0,0.03666666666666667,0.022,0.2916666666666667,0.0,0.08033333333333334,D - Baixo
Doverlândia (GO),128700,0.0,0.0,40000.0,80000.0,0.13333333333333333,0.08,0.0,0.0,0.08,D - Baixo
Júlio de Castilhos (RS),128052,0.0,5.0,3500.0,104200.0,0.17366666666666666,0.007,4.1666666666666665e-05,0.0,0.07990833333333333,D - Baixo
Paraguaçu Paulista (SP),53155,10.0,45000.0,1000.0,4300.0,0.007166666666666667,0.002,0.375,0.00023348120476301658,0.07874834812047632,D - Baixo
Itaquiraí (MS),107722,0.0,10291.0,29030.0,61500.0,0.1025,0.05806,0.08575833333333334,0.0,0.07779166666666668,D - Baixo
Morrinhos (GO),95862,0.0,19000.0,10887.0,53500.0,0.08916666666666667,0.021774,0.15833333333333333,0.0,0.07723516666666666,D - Baixo
Bom Jesus (PI),109326,0.0,10.0,12727.0,94361.0,0.15726833333333334,0.025454,8.333333333333333e-05,0.0,0.07715091666666667,D - Baixo
Santa Filomena (PI),109925,0.0,15.0,13719.0,93354.0,0.15559,0.027438,0.000125,0.0,0.07690000000000001,D - Baixo
Sacramento (MG),117097,2350.0,15900.0,6500.0,55500.0,0.0925,0.013,0.1325,0.054868083119308894,0.0768618083119309,D - Baixo
Nova Canaã do Norte (MT),126752,5.0,0.0,43676.0,73174.0,0.12195666666666667,0.087352,0.0,0.00011674060238150829,0.07673017406023816,D - Baixo
Jateí (MS),81011,0.0,25448.0,20000.0,32000.0,0.05333333333333334,0.04,0.21206666666666665,0.0,0.07641333333333333,D - Baixo
Edéia (GO),73850,0.0,30000.0,7000.0,29500.0,0.049166666666666664,0.014,0.25,0.0,0.075625,D - Baixo
Santa Vitória (MG),54866,0.0,40000.0,1846.0,10670.0,0.017783333333333335,0.003692,0.3333333333333333,0.0,0.07559216666666667,D - Baixo
Ituverava (SP),51984,313.0,40196.0,1455.0,8617.0,0.014361666666666667,0.00291,0.3349666666666667,0.007307961709082419,0.07491437950424157,D - Baixo
Cruz Alta (RS),138417,0.0,5.0,10000.0,92400.0,0.154,0.02,4.1666666666666665e-05,0.0,0.07430833333333334,D - Baixo
Novo São Joaquim (MT),150864,0.0,0.0,36200.0,74734.0,0.12455666666666666,0.0724,0.0,0.0,0.0741505,D - Baixo
Vila Rica (MT),110790,0.0,0.0,33000.0,76000.0,0.12666666666666668,0.066,0.0,0.0,0.07350000000000001,D - Baixo
