,Soja,Milho,Cana,Cafe
count,5563.0,5563.0,5563.0,5563.0
mean,8306.45,3853.47,1818.18,349.52
std,31663.82,17668.34,6625.53,1673.11
min,0.0,0.0,0.0,0.0
25%,0.0,86.5,0.0,0.0
50%,0.0,470.0,5.0,0.0
75%,3410.0,1800.0,65.0,0.0
max,600000.0,500000.0,120000.0,42830.0
