REGIAO_NOME,qtd_subestacoes,cap_inst_media_mva,disponibilidade_media_pct,area_km2,densidade_sub_km2
1,159,,,3894914.7151,0.0000
2,633,,,1589207.1293,0.0004
3,441,,,934880.5952,0.0005
4,403,,,577208.6753,0.0007
5,184,,,1609114.8873,0.0001
Fora do Território,2,,,,
